Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Payerne
Altitude [m asl]:         490 m
Coordinates:              46° 48.7' N / 6° 56.5' E

Reference date of homogenization:
         Temperature:     01.12.2007
         Precipitation:   01.12.2020

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.11.2022


Year  Month        Temperature      Precipitation  
2016      8               19.3               50.1  
2016      9               16.6               65.6  
2016     10                8.4               83.7  
2016     11                4.9              104.2  
2016     12               -0.3                0.2  
2017      1               -2.7               15.0  
2017      2                4.2               54.1  
2017      3                8.2               43.5  
2017      4                9.1               40.8  
2017      5               14.1               92.3  
2017      6               19.8               61.0  
2017      7               20.0               48.3  
2017      8               19.8               61.8  
2017      9               13.4               28.6  
2017     10               11.0               19.4  
2017     11                4.9               58.0  
2017     12                1.6              126.7  
2018      1                4.8              112.1  
2018      2               -0.3               24.9  
2018      3                3.9               76.3  
2018      4               12.2               16.1  
2018      5               14.9               83.3  
2018      6               18.5              140.1  
2018      7               20.5              113.3  
2018      8               20.5               31.3  
2018      9               16.4               19.4  
2018     10               10.6               23.8  
2018     11                5.6               41.3  
2018     12                4.0               98.5  
2019      1                0.8               18.1  
2019      2                2.9               39.7  
2019      3                6.9               44.2  
2019      4                8.9               60.4  
2019      5               11.2               90.1  
2019      6               19.1               82.1  
2019      7               21.0               88.6  
2019      8               19.2              125.6  
2019      9               15.6               36.5  
2019     10               11.7              128.6  
2019     11                5.2               84.7  
2019     12                3.7               66.0  
2020      1                1.9               24.2  
2020      2                6.3               82.8  
2020      3                5.9               41.9  
2020      4               11.4               60.1  
2020      5               13.9               58.6  
2020      6               16.4              156.3  
2020      7               19.9               89.7  
2020      8               19.3              117.5  
2020      9               15.8               90.7  
2020     10                9.1              146.1  
2020     11                5.3               28.3  
2020     12                2.7               63.6  
2021      1                1.3               70.3  
2021      2                4.0               26.2  
2021      3                5.4               40.1  
2021      4                7.9               39.9  
2021      5               11.0              165.7  
2021      6               18.5              167.5  
2021      7               18.4              204.8  
2021      8               17.6               57.0  
2021      9               16.0               45.4  
2021     10                9.1               55.9  
2021     11                3.8               17.6  
2021     12                2.1               89.1  
2022      1                1.1               29.8  
2022      2                4.1               30.2  
2022      3                6.2               13.8  
2022      4                9.0               65.1  
2022      5               15.9               14.7  
2022      6               19.5               98.3  
2022      7               21.5               60.5  
2022      8               20.7               57.3  
2022      9               14.3              207.0  
2022     10               13.3               69.5  
